train/entropy_loss,train/policy_loss,train/learning_rate,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/n_updates
-4.033945083618164,0.060791172087192535,0.0007,185,500,0.0,0.00024122236936818808,72.0,100,-0.883363,2,16695
-3.9887523651123047,0.03884974867105484,0.0007,373,1000,1.1920928955078125e-07,0.00013693002983927727,72.0,200,-0.8695312307692309,2,16795
-3.985402822494507,0.04256562516093254,0.0007,550,1500,0.0,0.00012045146286254749,72.0,300,-0.8597675,2,16895
-3.960031270980835,0.0830269455909729,0.0007,731,2000,0.0,0.0007020101766102016,72.0,400,-0.8398539999999999,2,16995
-4.004487037658691,0.10622530430555344,0.0007,920,2500,0.0,0.0008477023220621049,72.0,500,-0.8251414117647058,2,17095
-4.007890224456787,0.08451392501592636,0.0007,1095,3000,0.0,0.0005566478939726949,72.0,600,-0.8328484390243902,2,17195
-4.05687141418457,-0.04655389487743378,0.0007,1277,3500,0.0,0.00015379353135358542,72.0,700,-0.8344112708333333,2,17295
-4.040714263916016,0.06579795479774475,0.0007,1446,4000,1.7881393432617188e-07,0.00039252397255040705,72.0,800,-0.8346498545454546,2,17395
-4.020885467529297,0.06152447685599327,0.0007,1637,4500,0.0,0.00030144621268846095,72.0,900,-0.8238705645161292,2,17495
-4.030617713928223,-0.05566015467047691,0.0007,1826,5000,0.0,0.00021409695909824222,72.0,1000,-0.821226463768116,2,17595
-4.002364635467529,0.07743095606565475,0.0007,2002,5500,0.0,0.0004419543838594109,72.0,1100,-0.82533525,2,17695
-3.9854862689971924,0.04862523078918457,0.0007,2184,6000,0.0,0.00016551444423384964,72.0,1200,-0.8253734819277109,2,17795
-3.9573419094085693,-0.03164522722363472,0.0007,2364,6500,0.0,0.00015157239977270365,72.0,1300,-0.8335098222222224,2,17895
-3.993986129760742,-0.0250871479511261,0.0007,2552,7000,0.0,8.454794442513958e-05,72.0,1400,-0.834128474226804,2,17995
-3.9449150562286377,0.11835956573486328,0.0007,2713,7500,0.0,0.0010729404166340828,72.0,1500,-0.83223596,2,18095
-4.00423526763916,-0.33061492443084717,0.0007,2905,8000,-1.1920928955078125e-07,0.0251503586769104,72.0,1600,-0.83200794,2,18195
-4.019272804260254,0.04407961666584015,0.0007,3101,8500,0.0,0.00018332105537410825,72.0,1700,-0.8309188100000001,2,18295
-4.020188331604004,0.056491781026124954,0.0007,3285,9000,0.0,0.00023911030439194292,72.0,1800,-0.83587754,2,18395
-4.058915138244629,0.05694308504462242,0.0007,3462,9500,1.1920928955078125e-07,0.00027475805836729705,72.0,1900,-0.8339486599999999,2,18495
-4.030456066131592,0.067966029047966,0.0007,3648,10000,0.0,0.0003078468726016581,72.0,2000,-0.83623996,2,18595
-4.050445556640625,0.029581982642412186,0.0007,3827,10500,0.0,6.166594539536163e-05,72.0,2100,-0.83557508,2,18695
-4.03206729888916,0.0338466502726078,0.0007,4013,11000,0.0,9.516167483525351e-05,72.0,2200,-0.8326245399999999,2,18795
-4.036276340484619,0.059707023203372955,0.0007,4195,11500,0.0,0.00024734760518185794,72.0,2300,-0.8335609800000001,2,18895
-4.024936199188232,0.07638531178236008,0.0007,4374,12000,0.0,0.0003462314489297569,72.0,2400,-0.8266452900000002,2,18995
-4.036405563354492,0.03053869679570198,0.0007,4571,12500,0.0,0.0001275316608371213,72.0,2500,-0.83099982,2,19095
-4.002572536468506,0.08994612097740173,0.0007,4753,13000,0.0,0.0005606039194390178,72.0,2600,-0.82967265,2,19195
-4.0422587394714355,0.06152888759970665,0.0007,4940,13500,0.0,0.00035422848304733634,72.0,2700,-0.8231375200000001,2,19295
-4.012202739715576,-0.002677300712093711,0.0007,5116,14000,0.0,7.788617949699983e-06,72.0,2800,-0.8245464400000002,2,19395
-4.043481349945068,-0.0526156909763813,0.0007,5301,14500,0.0,0.0003835204697679728,72.0,2900,-0.83721763,2,19495
-3.985105514526367,0.09301977604627609,0.0007,5482,15000,0.0,0.0007367808721028268,72.0,3000,-0.8303979600000001,2,19595
-3.9618091583251953,0.013521701097488403,0.0007,5661,15500,-1.1920928955078125e-07,4.2900450353045017e-05,72.0,3100,-0.8333201600000001,2,19695
-4.034208297729492,0.08862023800611496,0.0007,5848,16000,0.0,0.000696770497597754,72.0,3200,-0.8375223600000001,2,19795
-4.034433364868164,0.09527236223220825,0.0007,6032,16500,0.0,0.0006881270091980696,72.0,3300,-0.84460014,2,19895
-4.0280961990356445,-0.7464355230331421,0.0007,6217,17000,0.0,0.07300007343292236,72.0,3400,-0.85240292,2,19995
-4.058712005615234,0.01369947474449873,0.0007,6397,17500,5.960464477539063e-08,5.5164997320389375e-05,72.0,3500,-0.8532374300000001,2,20095
-4.052374362945557,0.047901492565870285,0.0007,6577,18000,0.0,0.00019885691290255636,72.0,3600,-0.85931922,2,20195
-4.047414302825928,0.025212526321411133,0.0007,6758,18500,0.0,5.982481161481701e-05,72.0,3700,-0.8583904000000001,2,20295
-4.015540599822998,0.062382396310567856,0.0007,6936,19000,0.0,0.0004612801712937653,72.0,3800,-0.8720043099999998,2,20395
-4.011298656463623,0.015068301931023598,0.0007,7122,19500,-1.1920928955078125e-07,2.793579187709838e-05,72.0,3900,-0.8666121500000001,2,20495
-3.9982597827911377,0.0216336939483881,0.0007,7306,20000,-1.1920928955078125e-07,3.695098348543979e-05,72.0,4000,-0.8657521800000001,2,20595
-3.978752851486206,-0.03404313698410988,0.0007,7502,20500,0.0,9.445940668229014e-05,72.0,4100,-0.8661201800000002,2,20695
-3.9996497631073,-0.05028805881738663,0.0007,7681,21000,0.0,0.00019304807938169688,72.0,4200,-0.8646525399999999,2,20795
-3.9706451892852783,0.057059284299612045,0.0007,7869,21500,0.0,0.00023839958885218948,72.0,4300,-0.8560276799999998,2,20895
